family,method,seed,trial,source,cmd_vx,cmd_vy,cmd_wz,candidate_score,candidate_information,candidate_cost,rmse,integrated_uncertainty,nll,coverage_95,interval_width_95
affine,d_opt,1012,65,d_opt,0.35600285418331623,0.45823288429528475,-1.1827430734410882,0.5673457012220413,0.5673457012220413,0.0,0.007099257520180137,0.00031228711819760477,-7.061785534831654,0.94750656167979,0.10963548503678625
affine,d_opt,1012,66,d_opt,-0.8934630174189806,-0.18186978064477444,1.1258620396256447,0.5540168716117264,0.5540168716117264,0.0,0.007045991830577999,0.00031034137215008213,-7.065437165032669,0.9483814523184602,0.10953505892663161
affine,d_opt,1012,67,d_opt,-0.1349371038377285,-0.34257743041962385,0.20314224064350128,0.522012762633582,0.522012762633582,0.0,0.006762988594249079,0.0003072381047373246,-7.065302207318193,0.94750656167979,0.10940472771028346
affine,d_opt,1012,68,d_opt,0.32281957753002644,0.02998337335884571,1.4920401871204376,0.5120509047967929,0.5120509047967929,0.0,0.006730528878088938,0.00029832154366966803,-7.093776506776272,0.9483814523184602,0.10929625346961977
affine,d_opt,1012,69,d_opt,0.07990647293627262,-0.3852332951501012,-1.3756162310019135,0.5074246424227364,0.5074246424227364,0.0,0.006680877790492489,0.00029645317946700724,-7.09249517008428,0.9483814523184602,0.10921351429507711
affine,d_opt,1012,70,d_opt,-0.5958720054477453,0.3964994829148054,1.1912053478881717,0.4985612869953723,0.4985612869953723,0.0,0.006809829082068748,0.00029473464610074696,-7.067483878353021,0.9483814523184602,0.10913479204243715
affine,d_opt,1012,71,d_opt,-0.950190706178546,0.24403341207653284,-0.7301162593066692,0.4933067264068368,0.4933067264068368,0.0,0.006776184710135969,0.00029265925750863086,-7.070185183075715,0.94750656167979,0.10904689258584385
affine,d_opt,1012,72,d_opt,0.8476454168558121,0.2901911484077573,-0.3109753131866455,0.48904338779006185,0.48904338779006185,0.0,0.0063144657798510275,0.0002842423505212772,-7.046253168374871,0.9457567804024497,0.10895240381804494
affine,d_opt,1012,73,d_opt,0.6560612060129642,0.13402184005826712,0.30680720787495375,0.4784110354315083,0.4784110354315083,0.0,0.0072408686361126705,0.00027309244665757985,-7.0219730711351245,0.9466316710411199,0.10883891829446622
affine,d_opt,1012,74,d_opt,-0.3787611238658428,0.4042008966207504,-1.270165354013443,0.45721318285532647,0.45721318285532647,0.0,0.0072148559713326845,0.00027164893625448874,-7.005836585719132,0.9466316710411199,0.10877114659527494
affine,d_opt,1012,75,d_opt,-0.6214728932827711,-0.07595036551356316,-0.2777506001293659,0.455040384144069,0.455040384144069,0.0,0.0068826727119061,0.00026630746259619407,-7.014540833943009,0.9457567804024497,0.1086680315588621
affine,d_opt,1012,76,d_opt,-0.4118833653628826,0.08440448995679617,1.404617845080793,0.4486461131378703,0.4486461131378703,0.0,0.006937070055215997,0.0002645433523712281,-7.0195863548303015,0.9510061242344707,0.10858963690169654
