family,method,seed,trials_to_target,target_reached,final_rmse,final_uncertainty,final_coverage_95,oracle_budget
deadzone,dense,1019,256,True,0.013852778439166125,7.072071576901052e-05,0.9282589676290464,256
deadzone,dense,1020,256,True,0.013798258006868888,7.072071576901052e-05,0.9142607174103237,256
heteroscedastic,dense,1001,256,True,0.00911952296313642,0.00012402512305390053,0.9492563429571304,256
heteroscedastic,dense,1002,256,True,0.00927728994166138,0.00012402512305390053,0.9492563429571304,256
heteroscedastic,dense,1003,256,True,0.007669200639839881,0.00012402512305390053,0.94750656167979,256
heteroscedastic,dense,1004,256,True,0.009288229734070397,0.00012402512305390053,0.9448818897637795,256
heteroscedastic,dense,1005,256,True,0.008852987379412487,0.00012402512305390053,0.9571303587051618,256
heteroscedastic,dense,1006,256,True,0.009022612550109306,0.00012402512305390053,0.9387576552930884,256
heteroscedastic,dense,1007,256,True,0.010051628110617779,0.00012402512305390053,0.9413823272090989,256
heteroscedastic,dense,1008,256,True,0.008094349467726735,0.00012402512305390053,0.9518810148731408,256
heteroscedastic,dense,1009,256,True,0.007341992956481973,0.00012402512305390053,0.952755905511811,256
heteroscedastic,dense,1010,256,True,0.00819710597021067,0.00012402512305390053,0.9501312335958005,256
heteroscedastic,dense,1011,256,True,0.008906912000098731,0.00012402512305390053,0.9501312335958005,256
heteroscedastic,dense,1012,256,True,0.008357808491015004,0.00012402512305390053,0.9387576552930884,256
heteroscedastic,dense,1013,256,True,0.012055166197101529,0.00012402512305390053,0.94750656167979,256
heteroscedastic,dense,1014,256,True,0.009716461970867885,0.00012402512305390053,0.9483814523184602,256
heteroscedastic,dense,1015,256,True,0.009659278326705985,0.00012402512305390053,0.9291338582677166,256
heteroscedastic,dense,1016,256,True,0.010799831290958418,0.00012402512305390053,0.9492563429571304,256
heteroscedastic,dense,1017,256,True,0.0121490203350314,0.00012402512305390053,0.9448818897637795,256
heteroscedastic,dense,1018,256,True,0.009045081282195833,0.00012402512305390053,0.9545056867891514,256
heteroscedastic,dense,1019,256,True,0.008438671305457468,0.00012402512305390053,0.9466316710411199,256
heteroscedastic,dense,1020,256,True,0.007591707941448657,0.00012402512305390053,0.952755905511811,256
