session_id,trial_id,cmd_vx,cmd_vy,cmd_wz,design_source,ramp_in_s,settle_s,measure_s,ramp_out_s,sample_rate_hz
go2-session-02,19,0.13977645570586517,0.09548184227396345,0.4859835317360861,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,20,-0.258894600552682,0.20507105616733806,0.4221372115026909,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,21,-0.4858930164140587,-0.2834944234814075,0.6608362555931835,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,22,0.5716206610710889,0.23923524393664425,-0.16965185606604993,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,23,-0.30513468648428654,0.004733227409439433,0.5467780370130144,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,24,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,25,-0.2056910277703642,0.2658150528232757,0.4451942430763982,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,26,-0.5593664988633009,0.1803110536786416,-0.5764900878237216,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,27,0.35,-0.15,0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,28,0.0,0.0,-0.7,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,29,0.3338388681634331,-0.13162211205477534,-0.3097004040481772,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,30,-0.35,-0.15,-0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,31,0.0007620585803419511,0.21671689797511745,0.11408580635342547,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,32,-0.5,0.0,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,33,0.1087800636344024,-0.26095910759359164,0.1695103437253701,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,34,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,35,0.39551845231827076,-0.1912182666478885,0.183057381165591,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,36,0.06069272484147503,0.19365655875753202,-0.3782984152455227,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,37,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,38,-0.37336689780830634,0.033382482202275576,0.3578357527754492,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,39,0.38880173472890256,0.09704031616671166,-0.03763977114008343,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,40,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,41,-0.2864585828906165,0.15733168743724996,-0.7311685858995973,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,42,0.5,0.0,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,43,-0.38146951190513534,-0.08465627855720928,0.15660237058317317,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,44,0.0,0.0,0.7,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,45,-0.5353498665760137,0.022006423091358474,-0.21035933513423333,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,46,-0.35,0.15,0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,47,0.10666545124884341,-0.17573507930048862,-0.3979703018060911,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,48,-0.039101819230984214,0.15486085561808655,-0.5602757312270639,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,49,-0.4486304317250199,0.02929870713057403,-0.2251365717319388,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,50,0.12867051263853213,-0.07194202161485208,-0.07020648581434064,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,51,-0.03186767066785867,0.1365854637563002,-0.06018120412244554,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,52,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,53,0.07526234112023733,0.1522413369031373,-0.6874520150320387,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,54,0.4989318585921859,-0.10855936252338941,-0.7048121123948861,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,55,-0.5879828805004753,-0.21189094468237107,0.47906324373848963,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,56,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,57,0.36596331140330174,0.21216308358622943,0.22967263437681695,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,58,0.2866380626343037,-0.15578743746993362,-0.23955554991220473,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,59,0.0,-0.25,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,60,-0.44122425039458935,-0.05825830177717817,-0.010623315561157254,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,0,0.383413047685634,0.011474204035596847,0.4104768673190473,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,1,0.599270012174295,0.02839276415826114,0.3898751047397955,lhs,0.6,0.8,2.0,0.6,50.0
