scenario,tier,seed,phase,trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,predicted_std_vx,predicted_std_vy,predicted_std_wz,valid,reason_codes,steady_ratio,safety_events
tier_b_friction_payload,B,5304,calibration,3,seed_design,0.0,-0.25,0.0,0.018833297179387837,-0.2630231381624068,0.0008366882330637404,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5305,calibration,3,seed_design,0.0,-0.25,0.0,0.018839821818101125,-0.2630294899801955,0.0009457903639628325,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5306,calibration,3,seed_design,0.0,-0.25,0.0,0.018993588691803467,-0.26310513766200033,-0.000153372192728228,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5307,calibration,3,seed_design,0.0,-0.25,0.0,0.018846169537934852,-0.263038952339104,0.0009114343402169816,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5308,calibration,3,seed_design,0.0,-0.25,0.0,0.018832096747550417,-0.2630367663253513,0.0008882743628941876,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5309,calibration,3,seed_design,0.0,-0.25,0.0,0.019001777816950127,-0.26310198944501983,-0.00015630937701263366,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5310,calibration,3,seed_design,0.0,-0.25,0.0,0.01883532219231414,-0.26303647439384603,0.0009438574204783572,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5311,calibration,3,seed_design,0.0,-0.25,0.0,0.018842014031176867,-0.26303350944206444,0.0009390417338721688,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5312,calibration,3,seed_design,0.0,-0.25,0.0,0.01898981588637836,-0.2631037732914804,-0.00019686969031320324,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5313,calibration,3,seed_design,0.0,-0.25,0.0,0.019006333368908515,-0.2630119588534118,0.0008895029807137575,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5314,calibration,3,seed_design,0.0,-0.25,0.0,0.01885979369777664,-0.26303299746332165,0.000936887151479421,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5315,calibration,3,seed_design,0.0,-0.25,0.0,0.018836338060736042,-0.26303065556675054,0.0009149405857670204,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5316,calibration,3,seed_design,0.0,-0.25,0.0,0.01901321942379548,-0.26299886644342246,0.0008911556506161264,nan,nan,nan,nan,nan,nan,True,,1.0,
