distribution,budget,seed,task_ivr_mismatch_to_declared_rmse_ratio
right_heavy,24,1012,0.9394052083008002
right_heavy,24,1013,0.8143824263499875
right_heavy,24,1014,1.023572276833808
right_heavy,24,1015,1.0359938179202706
right_heavy,24,1016,0.9720898798733956
right_heavy,24,1017,1.0070899882871127
right_heavy,24,1018,1.1628015741156794
right_heavy,24,1019,1.242077747157268
right_heavy,24,1020,1.0961036232250354
right_heavy,30,1001,1.1019386146988988
right_heavy,30,1002,0.8706110127113412
right_heavy,30,1003,1.0432223381785337
right_heavy,30,1004,1.0670899166556442
right_heavy,30,1005,1.0253284687741009
right_heavy,30,1006,0.8946029231135689
right_heavy,30,1007,0.8547342619021956
right_heavy,30,1008,0.8386738562704252
right_heavy,30,1009,1.0400294334935685
right_heavy,30,1010,0.952837132674426
right_heavy,30,1011,1.236396647102157
right_heavy,30,1012,0.9523677223911949
right_heavy,30,1013,0.7442867422418147
right_heavy,30,1014,1.024137599108517
right_heavy,30,1015,0.9548125529046444
right_heavy,30,1016,0.946710885125357
right_heavy,30,1017,1.2415152583193017
right_heavy,30,1018,1.0994485157467997
right_heavy,30,1019,1.2132971477804493
right_heavy,30,1020,1.3680713960826465
