family,method,seed,budget,distribution,rmse
affine,active,1016,30,broad_uniform,0.030514287707474
affine,active,1017,18,declared,0.015597785256444908
affine,active,1017,18,forward_heavy,0.017507374209029692
affine,active,1017,18,left_heavy,0.011360874368139756
affine,active,1017,18,right_heavy,0.013002595795055468
affine,active,1017,18,broad_uniform,0.0478843845041957
affine,active,1017,24,declared,0.014582406699788797
affine,active,1017,24,forward_heavy,0.015983022660917074
affine,active,1017,24,left_heavy,0.011267116599424042
affine,active,1017,24,right_heavy,0.013087777375598525
affine,active,1017,24,broad_uniform,0.043263457718649624
affine,active,1017,30,declared,0.013194400573465827
affine,active,1017,30,forward_heavy,0.013656722629677844
affine,active,1017,30,left_heavy,0.009904868883634402
affine,active,1017,30,right_heavy,0.01471927838734298
affine,active,1017,30,broad_uniform,0.018086142378458448
affine,active,1018,18,declared,0.01961910510099788
affine,active,1018,18,forward_heavy,0.01660543977432825
affine,active,1018,18,left_heavy,0.0247964557695854
affine,active,1018,18,right_heavy,0.021867497712114978
affine,active,1018,18,broad_uniform,0.06146779665468103
affine,active,1018,24,declared,0.012712089196933812
affine,active,1018,24,forward_heavy,0.010847150408979588
affine,active,1018,24,left_heavy,0.015466579721449086
affine,active,1018,24,right_heavy,0.01466521034510634
affine,active,1018,24,broad_uniform,0.049697288611071457
affine,active,1018,30,declared,0.009151512750658427
affine,active,1018,30,forward_heavy,0.008149171347640864
affine,active,1018,30,left_heavy,0.010292828273437034
affine,active,1018,30,right_heavy,0.010670622591030788
affine,active,1018,30,broad_uniform,0.04010455551216452
affine,active,1019,18,declared,0.021248680251896645
affine,active,1019,18,forward_heavy,0.019569054592800547
affine,active,1019,18,left_heavy,0.017269809049899408
affine,active,1019,18,right_heavy,0.028769389658488475
affine,active,1019,18,broad_uniform,0.06849728083192666
affine,active,1019,24,declared,0.015299918048005234
affine,active,1019,24,forward_heavy,0.014597594626551304
affine,active,1019,24,left_heavy,0.01405271661747944
affine,active,1019,24,right_heavy,0.01839230437975157
affine,active,1019,24,broad_uniform,0.06533340357271131
affine,active,1019,30,declared,0.010391886676486578
affine,active,1019,30,forward_heavy,0.010328256560064347
affine,active,1019,30,left_heavy,0.010144212489802056
affine,active,1019,30,right_heavy,0.010840084463019694
affine,active,1019,30,broad_uniform,0.027243496093448855
affine,active,1020,18,declared,0.02405638552412475
affine,active,1020,18,forward_heavy,0.021236067111455058
affine,active,1020,18,left_heavy,0.02442073854608872
affine,active,1020,18,right_heavy,0.030920671361632734
affine,active,1020,18,broad_uniform,0.05120259070048409
affine,active,1020,24,declared,0.014253917732135083
affine,active,1020,24,forward_heavy,0.013812017289372574
affine,active,1020,24,left_heavy,0.015481785604946835
affine,active,1020,24,right_heavy,0.014236896459475729
affine,active,1020,24,broad_uniform,0.030295847086725388
affine,active,1020,30,declared,0.010321938572701354
affine,active,1020,30,forward_heavy,0.00985021023047072
affine,active,1020,30,left_heavy,0.008127939335258622
affine,active,1020,30,right_heavy,0.013388289018152102
affine,active,1020,30,broad_uniform,0.0247824531507715
affine,active_no_task,1001,18,declared,0.024659436960450806
affine,active_no_task,1001,18,forward_heavy,0.02572332512807262
affine,active_no_task,1001,18,left_heavy,0.023794378911949788
affine,active_no_task,1001,18,right_heavy,0.022057782715009182
affine,active_no_task,1001,18,broad_uniform,0.03235908545723555
affine,active_no_task,1001,24,declared,0.011655213488982108
affine,active_no_task,1001,24,forward_heavy,0.011242816463824634
affine,active_no_task,1001,24,left_heavy,0.010786756181811087
affine,active_no_task,1001,24,right_heavy,0.013635569232444227
affine,active_no_task,1001,24,broad_uniform,0.019358201067664095
affine,active_no_task,1001,30,declared,0.00932052859710476
affine,active_no_task,1001,30,forward_heavy,0.009572900443546018
affine,active_no_task,1001,30,left_heavy,0.008159306054763572
affine,active_no_task,1001,30,right_heavy,0.009681865519775455
affine,active_no_task,1001,30,broad_uniform,0.015561251932886823
affine,active_no_task,1002,18,declared,0.03672044551887024
affine,active_no_task,1002,18,forward_heavy,0.03626475824007229
affine,active_no_task,1002,18,left_heavy,0.03510524482501335
affine,active_no_task,1002,18,right_heavy,0.03969040915259122
affine,active_no_task,1002,18,broad_uniform,0.039206607403537715
affine,active_no_task,1002,24,declared,0.017522077798127245
affine,active_no_task,1002,24,forward_heavy,0.01785767662351266
affine,active_no_task,1002,24,left_heavy,0.015310794226726454
affine,active_no_task,1002,24,right_heavy,0.018645514453266704
affine,active_no_task,1002,24,broad_uniform,0.019989704628079825
affine,active_no_task,1002,30,declared,0.015557859663238404
affine,active_no_task,1002,30,forward_heavy,0.015862978047808184
affine,active_no_task,1002,30,left_heavy,0.015560790752487409
affine,active_no_task,1002,30,right_heavy,0.014567510626148599
affine,active_no_task,1002,30,broad_uniform,0.016522699308346277
affine,active_no_task,1003,18,declared,0.024013542955197014
affine,active_no_task,1003,18,forward_heavy,0.0224181221068021
affine,active_no_task,1003,18,left_heavy,0.02416287264024223
affine,active_no_task,1003,18,right_heavy,0.028262182018587836
affine,active_no_task,1003,18,broad_uniform,0.029955453817325846
affine,active_no_task,1003,24,declared,0.015724516734184322
affine,active_no_task,1003,24,forward_heavy,0.01401985528608789
affine,active_no_task,1003,24,left_heavy,0.015687638511032553
affine,active_no_task,1003,24,right_heavy,0.020143757477904416
affine,active_no_task,1003,24,broad_uniform,0.020253457571958653
affine,active_no_task,1003,30,declared,0.01523612650366937
affine,active_no_task,1003,30,forward_heavy,0.014068701007764889
affine,active_no_task,1003,30,left_heavy,0.016337894131671356
affine,active_no_task,1003,30,right_heavy,0.01735342196262539
affine,active_no_task,1003,30,broad_uniform,0.01622205451402177
affine,active_no_task,1004,18,declared,0.02908124281854197
affine,active_no_task,1004,18,forward_heavy,0.027980268316635994
affine,active_no_task,1004,18,left_heavy,0.027188797165449977
affine,active_no_task,1004,18,right_heavy,0.03397349661451153
affine,active_no_task,1004,18,broad_uniform,0.034671430413187765
affine,active_no_task,1004,24,declared,0.018955585909692773
affine,active_no_task,1004,24,forward_heavy,0.017668930269483536
affine,active_no_task,1004,24,left_heavy,0.015138746219001737
affine,active_no_task,1004,24,right_heavy,0.025383497994556747
affine,active_no_task,1004,24,broad_uniform,0.02475388557993028
affine,active_no_task,1004,30,declared,0.019766090872997334
affine,active_no_task,1004,30,forward_heavy,0.020962532083962804
affine,active_no_task,1004,30,left_heavy,0.016969793552144438
affine,active_no_task,1004,30,right_heavy,0.01868548126921872
affine,active_no_task,1004,30,broad_uniform,0.020623689167081717
affine,active_no_task,1005,18,declared,0.02816578810597717
affine,active_no_task,1005,18,forward_heavy,0.02689819283570408
affine,active_no_task,1005,18,left_heavy,0.03417060303043151
affine,active_no_task,1005,18,right_heavy,0.02470724981277879
affine,active_no_task,1005,18,broad_uniform,0.03417809890492393
affine,active_no_task,1005,24,declared,0.0157594991198938
affine,active_no_task,1005,24,forward_heavy,0.015741040099884685
affine,active_no_task,1005,24,left_heavy,0.016971271888564357
affine,active_no_task,1005,24,right_heavy,0.01441697345963378
affine,active_no_task,1005,24,broad_uniform,0.019042401889043676
affine,active_no_task,1005,30,declared,0.01713451308112399
affine,active_no_task,1005,30,forward_heavy,0.017211828309596004
affine,active_no_task,1005,30,left_heavy,0.017894169014073504
affine,active_no_task,1005,30,right_heavy,0.016030106799861266
affine,active_no_task,1005,30,broad_uniform,0.019549155162369217
affine,active_no_task,1006,18,declared,0.03828341527135196
affine,active_no_task,1006,18,forward_heavy,0.03517080004436477
affine,active_no_task,1006,18,left_heavy,0.043501106928760566
affine,active_no_task,1006,18,right_heavy,0.04146710490118559
affine,active_no_task,1006,18,broad_uniform,0.03773882936069755
affine,active_no_task,1006,24,declared,0.023353142370608728
affine,active_no_task,1006,24,forward_heavy,0.021190128320070827
affine,active_no_task,1006,24,left_heavy,0.02755575769296281
affine,active_no_task,1006,24,right_heavy,0.024818433629288487
affine,active_no_task,1006,24,broad_uniform,0.022910086327571275
affine,active_no_task,1006,30,declared,0.01834326237389919
affine,active_no_task,1006,30,forward_heavy,0.017492481247035205
affine,active_no_task,1006,30,left_heavy,0.019079404048350786
affine,active_no_task,1006,30,right_heavy,0.020041274999156044
affine,active_no_task,1006,30,broad_uniform,0.01882127624731193
affine,active_no_task,1007,18,declared,0.027496067623137426
affine,active_no_task,1007,18,forward_heavy,0.02902326338491113
affine,active_no_task,1007,18,left_heavy,0.02633884193175576
affine,active_no_task,1007,18,right_heavy,0.02355345668464086
affine,active_no_task,1007,18,broad_uniform,0.03110827724526724
affine,active_no_task,1007,24,declared,0.023411498046268003
affine,active_no_task,1007,24,forward_heavy,0.0227966869793808
affine,active_no_task,1007,24,left_heavy,0.027199918239501877
affine,active_no_task,1007,24,right_heavy,0.020776211986935775
affine,active_no_task,1007,24,broad_uniform,0.0249096345497279
affine,active_no_task,1007,30,declared,0.017464179056513245
affine,active_no_task,1007,30,forward_heavy,0.018406461791881747
affine,active_no_task,1007,30,left_heavy,0.015776715936076623
affine,active_no_task,1007,30,right_heavy,0.016124567240893322
affine,active_no_task,1007,30,broad_uniform,0.020684370445330943
affine,active_no_task,1008,18,declared,0.0214727085183819
affine,active_no_task,1008,18,forward_heavy,0.02181074055475668
affine,active_no_task,1008,18,left_heavy,0.021509667659449904
affine,active_no_task,1008,18,right_heavy,0.0203469676261083
affine,active_no_task,1008,18,broad_uniform,0.02787209736166073
affine,active_no_task,1008,24,declared,0.020338926082324495
affine,active_no_task,1008,24,forward_heavy,0.01982286500694067
affine,active_no_task,1008,24,left_heavy,0.023129022956716407
affine,active_no_task,1008,24,right_heavy,0.018669883504662
affine,active_no_task,1008,24,broad_uniform,0.024194624679160514
affine,active_no_task,1008,30,declared,0.015961780018223164
affine,active_no_task,1008,30,forward_heavy,0.01610726931204626
affine,active_no_task,1008,30,left_heavy,0.016976297224540377
affine,active_no_task,1008,30,right_heavy,0.014305731474856859
affine,active_no_task,1008,30,broad_uniform,0.01910766913714197
affine,active_no_task,1009,18,declared,0.037263224896282296
affine,active_no_task,1009,18,forward_heavy,0.03284134659613976
affine,active_no_task,1009,18,left_heavy,0.04272680406892531
affine,active_no_task,1009,18,right_heavy,0.04340293489598682
affine,active_no_task,1009,18,broad_uniform,0.03393852567696208
affine,active_no_task,1009,24,declared,0.016941360380037795
affine,active_no_task,1009,24,forward_heavy,0.01539882988431589
affine,active_no_task,1009,24,left_heavy,0.022960926383424556
affine,active_no_task,1009,24,right_heavy,0.013619052874925788
affine,active_no_task,1009,24,broad_uniform,0.020319421930411464
affine,active_no_task,1009,30,declared,0.02357989847998099
affine,active_no_task,1009,30,forward_heavy,0.022804625670914104
affine,active_no_task,1009,30,left_heavy,0.03043455422568601
affine,active_no_task,1009,30,right_heavy,0.016508443204498208
affine,active_no_task,1009,30,broad_uniform,0.020951561711704154
affine,active_no_task,1010,18,declared,0.01966812751638276
affine,active_no_task,1010,18,forward_heavy,0.018377407207390655
affine,active_no_task,1010,18,left_heavy,0.024537669875049625
affine,active_no_task,1010,18,right_heavy,0.017592238270910426
affine,active_no_task,1010,18,broad_uniform,0.02400572387035264
affine,active_no_task,1010,24,declared,0.020733267746550613
affine,active_no_task,1010,24,forward_heavy,0.021067891669325437
affine,active_no_task,1010,24,left_heavy,0.020797755983963044
affine,active_no_task,1010,24,right_heavy,0.019586316075798357
affine,active_no_task,1010,24,broad_uniform,0.018638398721851506
affine,active_no_task,1010,30,declared,0.01987764764881269
affine,active_no_task,1010,30,forward_heavy,0.02111601390129476
affine,active_no_task,1010,30,left_heavy,0.018500484977736674
affine,active_no_task,1010,30,right_heavy,0.017147782680873087
affine,active_no_task,1010,30,broad_uniform,0.01893600867260919
affine,active_no_task,1011,18,declared,0.03140525855699585
affine,active_no_task,1011,18,forward_heavy,0.029087012961821705
affine,active_no_task,1011,18,left_heavy,0.03736256695826782
affine,active_no_task,1011,18,right_heavy,0.03137182260051996
affine,active_no_task,1011,18,broad_uniform,0.031121813458248618
affine,active_no_task,1011,24,declared,0.018788651469312266
affine,active_no_task,1011,24,forward_heavy,0.017084208430968577
affine,active_no_task,1011,24,left_heavy,0.021225656705149185
