scenario,seed,monitor_trials,false_alarm,first_alarm_trial,maximum_cusum,mean_normalized_nis,valid_observation_ratio,monitor_safety_event_count
stationary_payload_com,13110,100,False,0,3.8480158353660956,1.478932296792029,1.0,0
stationary_payload_com,13111,100,False,0,3.066419151075788,1.4587956658887822,0.88,12
stationary_payload_com,13112,100,True,10,28.98613221940016,1.780837833643929,0.75,25
stationary_payload_com,13113,100,True,10,53.81709864841657,2.0237948136712727,1.0,0
stationary_payload_com,13114,100,True,11,18.20764711161774,1.677834804225328,1.0,0
stationary_payload_com,13115,100,False,0,4.344743155535617,1.439252832959669,1.0,0
stationary_payload_com,13116,100,False,0,2.645159479547911,1.3020485828021082,1.0,0
stationary_payload_com,13117,100,True,10,63.996009004483476,2.122837662172745,1.0,0
stationary_payload_com,13118,100,True,6,60.46670464649824,2.088739779627709,1.0,0
stationary_payload_com,13119,100,False,0,11.317097625748936,1.6014574970428797,1.0,0
stationary_payload_com,13120,100,True,9,107.45896018129211,2.5561597532613707,0.88,12
stationary_payload_com,13121,100,True,11,40.555151811088834,1.8853071499361471,0.88,12
stationary_payload_com,13122,100,True,34,7.788150532502614,1.55671117052269,0.88,12
stationary_payload_com,13123,100,False,0,67.649351658399,2.1667590043211247,1.0,0
stationary_payload_com,13124,100,True,26,9.640222253490965,1.582805882587949,1.0,0
stationary_payload_com,13125,100,True,5,92.06387850865599,2.4186363287219708,0.88,12
stationary_payload_com,13126,100,True,4,74.86107023777795,2.2486107023777793,1.0,0
stationary_payload_com,13127,100,False,0,2.6854066552165206,1.4775309983000513,0.88,12
stationary_payload_com,13128,100,False,0,4.032159014671445,1.4906674614496895,1.0,0
stationary_payload_com,13129,100,False,0,3.4080284154103184,1.4634866843087269,1.0,0
stationary_payload_com,13130,100,False,0,2.950743426735327,1.4847939545179814,1.0,0
stationary_mixed_nuisance,13101,100,True,3,147.566323095675,2.9756632309567506,1.0,0
stationary_mixed_nuisance,13102,100,True,4,150.6370318086601,3.0063703180866,1.0,0
stationary_mixed_nuisance,13103,100,True,5,80.45375190551097,2.298889703298599,1.0,0
stationary_mixed_nuisance,13104,100,True,4,110.51550049070677,2.605155004907067,1.0,0
stationary_mixed_nuisance,13105,100,True,3,148.5652767693206,2.985652767693206,1.0,0
stationary_mixed_nuisance,13106,100,True,3,176.88990837491588,3.2688990837491576,1.0,0
stationary_mixed_nuisance,13107,100,True,4,82.66489414115664,2.326648941411566,1.0,0
stationary_mixed_nuisance,13108,100,True,5,82.51683805967996,2.3250454533708584,1.0,0
stationary_mixed_nuisance,13109,100,True,3,170.85399770775726,3.2085399770775718,1.0,0
stationary_mixed_nuisance,13110,100,True,4,129.925808031122,2.7992580803112195,1.0,0
stationary_mixed_nuisance,13111,100,True,5,70.90400917303711,2.209040091730371,1.0,0
stationary_mixed_nuisance,13112,100,True,3,160.1365029706374,3.101365029706374,1.0,0
stationary_mixed_nuisance,13113,100,True,3,137.54378460307595,2.8754378460307595,1.0,0
stationary_mixed_nuisance,13114,100,True,4,107.34041680748388,2.573404168074839,1.0,0
stationary_mixed_nuisance,13115,100,True,4,109.29222769214985,2.592922276921499,1.0,0
stationary_mixed_nuisance,13116,100,True,3,93.88755413417991,2.4388755413417993,1.0,0
stationary_mixed_nuisance,13117,100,True,4,150.94966409249133,3.009496640924914,1.0,0
stationary_mixed_nuisance,13118,100,True,3,176.27439527711036,3.2627439527711046,1.0,0
stationary_mixed_nuisance,13119,100,True,4,143.3140385843592,2.9331403858435916,1.0,0
stationary_mixed_nuisance,13120,100,True,3,101.64280635693237,2.5132011696038314,1.0,0
stationary_mixed_nuisance,13121,100,True,10,40.031487952723495,1.894063534937388,1.0,0
stationary_mixed_nuisance,13122,100,True,4,85.05560830203635,2.3505560830203636,1.0,0
stationary_mixed_nuisance,13123,100,True,3,184.50623303380908,3.345062330338091,1.0,0
stationary_mixed_nuisance,13124,100,True,3,152.12412097685734,3.021241209768573,1.0,0
stationary_mixed_nuisance,13125,100,True,3,171.18321020443045,3.211832102044304,1.0,0
stationary_mixed_nuisance,13126,100,True,3,166.44373655474865,3.1644373655474847,1.0,0
stationary_mixed_nuisance,13127,100,True,3,149.98437397702304,2.99984373977023,1.0,0
stationary_mixed_nuisance,13128,100,True,4,125.97923907279183,2.7597923907279176,1.0,0
stationary_mixed_nuisance,13129,100,True,3,124.56008196972935,2.7456008196972936,1.0,0
stationary_mixed_nuisance,13130,100,True,3,144.73740952133133,2.947374095213313,1.0,0
