command_id,cmd_vx,cmd_vy,cmd_wz
POOL_177,-0.182812,-0.038272,0.495360
POOL_178,0.417187,0.161728,-0.720640
POOL_179,-0.332813,-0.171605,-0.400640
POOL_180,0.267188,0.028395,-0.080640
POOL_181,-0.032813,0.228395,0.239360
POOL_182,0.567188,-0.104938,0.559360
POOL_183,-0.576562,0.095062,-0.656640
POOL_184,0.023438,0.295062,-0.336640
POOL_185,-0.276562,-0.295062,-0.016640
POOL_186,0.323437,-0.095062,0.303360
POOL_187,-0.426562,0.104938,0.623360
POOL_188,0.173438,-0.228395,-0.592640
POOL_189,-0.126563,-0.028395,-0.272640
POOL_190,0.473438,0.171605,0.047360
POOL_191,-0.501563,-0.161728,0.367360
POOL_192,0.098437,0.038272,0.687360
POOL_193,-0.201562,0.238272,-0.528640
POOL_194,0.398438,-0.272840,-0.208640
POOL_195,-0.351562,-0.072840,0.111360
POOL_196,0.248437,0.127160,0.431360
POOL_197,-0.051562,-0.206173,0.751360
POOL_198,0.548438,-0.006173,-0.771840
POOL_199,-0.539062,0.193827,-0.451840
POOL_200,0.060937,-0.139506,-0.131840
POOL_201,-0.239063,0.060494,0.188160
POOL_202,0.360938,0.260494,0.508160
POOL_203,-0.389062,-0.250617,-0.707840
POOL_204,0.210938,-0.050617,-0.387840
POOL_205,-0.089063,0.149383,-0.067840
POOL_206,0.510937,-0.183951,0.252160
POOL_207,-0.464062,0.016049,0.572160
POOL_208,0.135938,0.216049,-0.643840
POOL_209,-0.164062,-0.117284,-0.323840
POOL_210,0.435937,0.082716,-0.003840
POOL_211,-0.314062,0.282716,0.316160
POOL_212,0.285937,-0.287654,0.636160
POOL_213,-0.014062,-0.087654,-0.579840
POOL_214,0.585937,0.112346,-0.259840
POOL_215,-0.585938,-0.220988,0.060160
POOL_216,0.014062,-0.020988,0.380160
POOL_217,-0.285938,0.179012,0.700160
POOL_218,0.314063,-0.154321,-0.515840
POOL_219,-0.435937,0.045679,-0.195840
POOL_220,0.164062,0.245679,0.124160
POOL_221,-0.135937,-0.265432,0.444160
POOL_222,0.464062,-0.065432,0.764160
POOL_223,-0.510937,0.134568,-0.759040
POOL_224,0.089063,-0.198765,-0.439040
POOL_225,-0.210938,0.001235,-0.119040
POOL_226,0.389062,0.201235,0.200960
POOL_227,-0.360938,-0.132099,0.520960
POOL_228,0.239062,0.067901,-0.695040
POOL_229,-0.060937,0.267901,-0.375040
POOL_230,0.539062,-0.243210,-0.055040
POOL_231,-0.548438,-0.043210,0.264960
POOL_232,0.051562,0.156790,0.584960
POOL_233,-0.248437,-0.176543,-0.631040
POOL_234,0.351562,0.023457,-0.311040
POOL_235,-0.398438,0.223457,0.008960
POOL_236,0.201562,-0.109877,0.328960
POOL_237,-0.098437,0.090123,0.648960
POOL_238,0.501563,0.290123,-0.567040
POOL_239,-0.473437,-0.280247,-0.247040
POOL_240,0.126563,-0.080247,0.072960
POOL_241,-0.173437,0.119753,0.392960
POOL_242,0.426563,-0.213580,0.712960
POOL_243,-0.323437,-0.013580,-0.503040
POOL_244,0.276563,0.186420,-0.183040
POOL_245,-0.023438,-0.146914,0.136960
POOL_246,0.576562,0.053086,0.456960
POOL_247,-0.567187,0.253086,0.776960
POOL_248,0.032813,-0.258025,-0.746240
POOL_249,-0.267187,-0.058025,-0.426240
POOL_250,0.332812,0.141975,-0.106240
POOL_251,-0.417187,-0.191358,0.213760
POOL_252,0.182813,0.008642,0.533760
POOL_253,-0.117188,0.208642,-0.682240
POOL_254,0.482812,-0.124691,-0.362240
POOL_255,-0.492188,0.075309,-0.042240
POOL_256,0.107812,0.275309,0.277760
POOL_257,-0.192188,-0.235802,0.597760
POOL_258,0.407813,-0.035802,-0.618240
POOL_259,-0.342187,0.164198,-0.298240
POOL_260,0.257812,-0.169136,0.021760
POOL_261,-0.042188,0.030864,0.341760
POOL_262,0.557812,0.230864,0.661760
POOL_263,-0.529687,-0.102469,-0.554240
POOL_264,0.070312,0.097531,-0.234240
POOL_265,-0.229687,0.297531,0.085760
POOL_266,0.370312,-0.299177,0.405760
POOL_267,-0.379687,-0.099177,0.725760
POOL_268,0.220313,0.100823,-0.490240
POOL_269,-0.079688,-0.232510,-0.170240
POOL_270,0.520313,-0.032510,0.149760
POOL_271,-0.454688,0.167490,0.469760
POOL_272,0.145312,-0.165844,0.789760
POOL_273,-0.154687,0.034156,-0.794880
POOL_274,0.445312,0.234156,-0.474880
POOL_275,-0.304688,-0.276955,-0.154880
POOL_276,0.295312,-0.076955,0.165120
POOL_277,-0.004687,0.123045,0.485120
POOL_278,0.595313,-0.210288,-0.730880
POOL_279,-0.597656,-0.010288,-0.410880
POOL_280,0.002344,0.189712,-0.090880
POOL_281,-0.297656,-0.143621,0.229120
POOL_282,0.302344,0.056379,0.549120
POOL_283,-0.447656,0.256379,-0.666880
POOL_284,0.152344,-0.254733,-0.346880
POOL_285,-0.147656,-0.054733,-0.026880
POOL_286,0.452344,0.145267,0.293120
POOL_287,-0.522656,-0.188066,0.613120
POOL_288,0.077344,0.011934,-0.602880
POOL_289,-0.222656,0.211934,-0.282880
POOL_290,0.377344,-0.121399,0.037120
POOL_291,-0.372656,0.078601,0.357120
POOL_292,0.227344,0.278601,0.677120
POOL_293,-0.072656,-0.291770,-0.538880
POOL_294,0.527344,-0.091770,-0.218880
POOL_295,-0.560156,0.108230,0.101120
POOL_296,0.039844,-0.225103,0.421120
POOL_297,-0.260156,-0.025103,0.741120
POOL_298,0.339844,0.174897,-0.782080
POOL_299,-0.410156,-0.158436,-0.462080
POOL_300,0.189844,0.041564,-0.142080
POOL_301,-0.110156,0.241564,0.177920
POOL_302,0.489844,-0.269547,0.497920
POOL_303,-0.485156,-0.069547,-0.718080
POOL_304,0.114844,0.130453,-0.398080
POOL_305,-0.185156,-0.202881,-0.078080
POOL_306,0.414844,-0.002881,0.241920
POOL_307,-0.335156,0.197119,0.561920
POOL_308,0.264844,-0.136214,-0.654080
POOL_309,-0.035156,0.063786,-0.334080
POOL_310,0.564844,0.263786,-0.014080
POOL_311,-0.578906,-0.247325,0.305920
POOL_312,0.021094,-0.047325,0.625920
POOL_313,-0.278906,0.152675,-0.590080
POOL_314,0.321094,-0.180658,-0.270080
POOL_315,-0.428906,0.019342,0.049920
POOL_316,0.171094,0.219342,0.369920
POOL_317,-0.128906,-0.113992,0.689920
POOL_318,0.471094,0.086008,-0.526080
POOL_319,-0.503906,0.286008,-0.206080
POOL_320,0.096094,-0.284362,0.113920
POOL_321,-0.203906,-0.084362,0.433920
POOL_322,0.396094,0.115638,0.753920
POOL_323,-0.353906,-0.217695,-0.769280
POOL_324,0.246094,-0.017695,-0.449280
POOL_325,-0.053906,0.182305,-0.129280
POOL_326,0.546094,-0.151029,0.190720
POOL_327,-0.541406,0.048971,0.510720
POOL_328,0.058594,0.248971,-0.705280
POOL_329,-0.241406,-0.262140,-0.385280
POOL_330,0.358594,-0.062140,-0.065280
POOL_331,-0.391406,0.137860,0.254720
POOL_332,0.208594,-0.195473,0.574720
POOL_333,-0.091406,0.004527,-0.641280
POOL_334,0.508594,0.204527,-0.321280
POOL_335,-0.466406,-0.128807,-0.001280
POOL_336,0.133594,0.071193,0.318720
POOL_337,-0.166406,0.271193,0.638720
POOL_338,0.433594,-0.239918,-0.577280
POOL_339,-0.316406,-0.039918,-0.257280
POOL_340,0.283594,0.160082,0.062720
POOL_341,-0.016406,-0.173251,0.382720
POOL_342,0.583594,0.026749,0.702720
POOL_343,-0.588281,0.226749,-0.513280
POOL_344,0.011719,-0.106584,-0.193280
POOL_345,-0.288281,0.093416,0.126720
POOL_346,0.311719,0.293416,0.446720
POOL_347,-0.438281,-0.296708,0.766720
POOL_348,0.161719,-0.096708,-0.756480
POOL_349,-0.138281,0.103292,-0.436480
POOL_350,0.461719,-0.230041,-0.116480
POOL_351,-0.513281,-0.030041,0.203520
POOL_352,0.086719,0.169959,0.523520
POOL_353,-0.213281,-0.163374,-0.692480
POOL_354,0.386719,0.036626,-0.372480
POOL_355,-0.363281,0.236626,-0.052480
POOL_356,0.236719,-0.274486,0.267520
POOL_357,-0.063281,-0.074486,0.587520
POOL_358,0.536719,0.125514,-0.628480
POOL_359,-0.550781,-0.207819,-0.308480
POOL_360,0.049219,-0.007819,0.011520
POOL_361,-0.250781,0.192181,0.331520
POOL_362,0.349219,-0.141152,0.651520
POOL_363,-0.400781,0.058848,-0.564480
POOL_364,0.199219,0.258848,-0.244480
POOL_365,-0.100781,-0.252263,0.075520
POOL_366,0.499219,-0.052263,0.395520
POOL_367,-0.475781,0.147737,0.715520
POOL_368,0.124219,-0.185597,-0.500480
POOL_369,-0.175781,0.014403,-0.180480
POOL_370,0.424219,0.214403,0.139520
POOL_371,-0.325781,-0.118930,0.459520
POOL_372,0.274219,0.081070,0.779520
POOL_373,-0.025781,0.281070,-0.743680
POOL_374,0.574219,-0.289300,-0.423680
POOL_375,-0.569531,-0.089300,-0.103680
POOL_376,0.030469,0.110700,0.216320
POOL_377,-0.269531,-0.222634,0.536320
POOL_378,0.330469,-0.022634,-0.679680
POOL_379,-0.419531,0.177366,-0.359680
POOL_380,0.180469,-0.155967,-0.039680
POOL_381,-0.119531,0.044033,0.280320
POOL_382,0.480469,0.244033,0.600320
POOL_383,-0.494531,-0.267078,-0.615680
POOL_384,0.105469,-0.067078,-0.295680
POOL_385,-0.194531,0.132922,0.024320
POOL_386,0.405469,-0.200412,0.344320
POOL_387,-0.344531,-0.000412,0.664320
POOL_388,0.255469,0.199588,-0.551680
POOL_389,-0.044531,-0.133745,-0.231680
POOL_390,0.555469,0.066255,0.088320
POOL_391,-0.532031,0.266255,0.408320
POOL_392,0.067969,-0.244856,0.728320
POOL_393,-0.232031,-0.044856,-0.487680
POOL_394,0.367969,0.155144,-0.167680
POOL_395,-0.382031,-0.178189,0.152320
POOL_396,0.217969,0.021811,0.472320
POOL_397,-0.082031,0.221811,0.792320
POOL_398,0.517969,-0.111523,-0.792320
POOL_399,-0.457031,0.088477,-0.472320
POOL_400,0.142969,0.288477,-0.152320
POOL_401,-0.157031,-0.281893,0.167680
POOL_402,0.442969,-0.081893,0.487680
POOL_403,-0.307031,0.118107,-0.728320
POOL_404,0.292969,-0.215226,-0.408320
POOL_405,-0.007031,-0.015226,-0.088320
POOL_406,0.592969,0.184774,0.231680
POOL_407,-0.592969,-0.148560,0.551680
POOL_408,0.007031,0.051440,-0.664320
POOL_409,-0.292969,0.251440,-0.344320
POOL_410,0.307031,-0.259671,-0.024320
POOL_411,-0.442969,-0.059671,0.295680
POOL_412,0.157031,0.140329,0.615680
POOL_413,-0.142969,-0.193004,-0.600320
POOL_414,0.457031,0.006996,-0.280320
POOL_415,-0.517969,0.206996,0.039680
POOL_416,0.082031,-0.126337,0.359680
POOL_417,-0.217969,0.073663,0.679680
POOL_418,0.382031,0.273663,-0.536320
POOL_419,-0.367969,-0.237449,-0.216320
POOL_420,0.232031,-0.037449,0.103680
POOL_421,-0.067969,0.162551,0.423680
POOL_422,0.532031,-0.170782,0.743680
POOL_423,-0.555469,0.029218,-0.779520
POOL_424,0.044531,0.229218,-0.459520
POOL_425,-0.255469,-0.104115,-0.139520
POOL_426,0.344531,0.095885,0.180480
POOL_427,-0.405469,0.295885,0.500480
POOL_428,0.194531,-0.294239,-0.715520
POOL_429,-0.105469,-0.094239,-0.395520
POOL_430,0.494531,0.105761,-0.075520
POOL_431,-0.480469,-0.227572,0.244480
POOL_432,0.119531,-0.027572,0.564480
POOL_433,-0.180469,0.172428,-0.651520
POOL_434,0.419531,-0.160905,-0.331520
POOL_435,-0.330469,0.039095,-0.011520
POOL_436,0.269531,0.239095,0.308480
POOL_437,-0.030469,-0.272016,0.628480
POOL_438,0.569531,-0.072016,-0.587520
POOL_439,-0.574219,0.127984,-0.267520
POOL_440,0.025781,-0.205350,0.052480
POOL_441,-0.274219,-0.005350,0.372480
POOL_442,0.325781,0.194650,0.692480
POOL_443,-0.424219,-0.138683,-0.523520
POOL_444,0.175781,0.061317,-0.203520
POOL_445,-0.124219,0.261317,0.116480
POOL_446,0.475781,-0.249794,0.436480
POOL_447,-0.499219,-0.049794,0.756480
POOL_448,0.100781,0.150206,-0.766720
POOL_449,-0.199219,-0.183128,-0.446720
POOL_450,0.400781,0.016872,-0.126720
POOL_451,-0.349219,0.216872,0.193280
POOL_452,0.250781,-0.116461,0.513280
POOL_453,-0.049219,0.083539,-0.702720
POOL_454,0.550781,0.283539,-0.382720
POOL_455,-0.536719,-0.286831,-0.062720
POOL_456,0.063281,-0.086831,0.257280
POOL_457,-0.236719,0.113169,0.577280
POOL_458,0.363281,-0.220165,-0.638720
POOL_459,-0.386719,-0.020165,-0.318720
POOL_460,0.213281,0.179835,0.001280
POOL_461,-0.086719,-0.153498,0.321280
POOL_462,0.513281,0.046502,0.641280
POOL_463,-0.461719,0.246502,-0.574720
POOL_464,0.138281,-0.264609,-0.254720
POOL_465,-0.161719,-0.064609,0.065280
POOL_466,0.438281,0.135391,0.385280
POOL_467,-0.311719,-0.197942,0.705280
POOL_468,0.288281,0.002058,-0.510720
POOL_469,-0.011719,0.202058,-0.190720
POOL_470,0.588281,-0.131276,0.129280
POOL_471,-0.583594,0.068724,0.449280
POOL_472,0.016406,0.268724,0.769280
POOL_473,-0.283594,-0.242387,-0.753920
POOL_474,0.316406,-0.042387,-0.433920
POOL_475,-0.433594,0.157613,-0.113920
POOL_476,0.166406,-0.175720,0.206080
POOL_477,-0.133594,0.024280,0.526080
POOL_478,0.466406,0.224280,-0.689920
POOL_479,-0.508594,-0.109053,-0.369920
POOL_480,0.091406,0.090947,-0.049920
POOL_481,-0.208594,0.290947,0.270080
POOL_482,0.391406,-0.279424,0.590080
POOL_483,-0.358594,-0.079424,-0.625920
POOL_484,0.241406,0.120576,-0.305920
POOL_485,-0.058594,-0.212757,0.014080
POOL_486,0.541406,-0.012757,0.334080
POOL_487,-0.546094,0.187243,0.654080
POOL_488,0.053906,-0.146091,-0.561920
POOL_489,-0.246094,0.053909,-0.241920
POOL_490,0.353906,0.253909,0.078080
POOL_491,-0.396094,-0.257202,0.398080
POOL_492,0.203906,-0.057202,0.718080
POOL_493,-0.096094,0.142798,-0.497920
POOL_494,0.503906,-0.190535,-0.177920
POOL_495,-0.471094,0.009465,0.142080
POOL_496,0.128906,0.209465,0.462080
POOL_497,-0.171094,-0.123868,0.782080
POOL_498,0.428906,0.076132,-0.741120
POOL_499,-0.321094,0.276132,-0.421120
POOL_500,0.278906,-0.234979,-0.101120
POOL_501,-0.021094,-0.034979,0.218880
POOL_502,0.578906,0.165021,0.538880
POOL_503,-0.564844,-0.168313,-0.677120
POOL_504,0.035156,0.031687,-0.357120
POOL_505,-0.264844,0.231687,-0.037120
POOL_506,0.335156,-0.101646,0.282880
POOL_507,-0.414844,0.098354,0.602880
POOL_508,0.185156,0.298354,-0.613120
POOL_509,-0.114844,-0.298354,-0.293120
POOL_510,0.485156,-0.098354,0.026880
POOL_511,-0.489844,0.101646,0.346880
POOL_512,0.110156,-0.231687,0.666880
