cmd_vx,cmd_vy,cmd_wz,information_gain,cost,score
-0.9044186789542437,0.05283043906092644,-1.1836543008685112,7.88706203726813e-07,0.0,7.88706203726813e-07
0.09909445233643055,-0.2715503200888634,0.3030367037281394,1.6712914828655514e-06,0.0,-inf
0.44465490616858006,0.24006803426891565,0.833659753203392,1.2603382155973849e-06,0.0,-inf
-0.5587977115064859,-0.4588470859453082,-0.7028134698048234,6.083667688852614e-07,0.0,-inf
-0.30731717869639397,0.47941049188375473,0.6641053184866905,1.7400951626999195e-06,0.0,-inf
0.6892993524670601,-0.19813135638833046,-0.8020578632131219,1.4263653361320826e-06,0.0,-inf
0.638159554451704,0.46764425467699766,1.279175329953432,9.594945408001844e-07,0.0,-inf
-0.3653539568185806,-0.2488642493262887,-0.21032532770186663,9.626385891155611e-07,0.0,-inf
-0.6099680345505476,0.18933418579399586,0.21826378628611565,9.402141983892281e-07,0.0,-inf
0.386709688231349,-0.47061427868902683,-1.2946774559095502,8.104558932012541e-07,0.0,-inf
0.040859317407011986,0.002127080224454403,-0.5684871040284634,1.9185165578351713e-06,0.0,-inf
-0.9557568486779928,-0.28334805835038424,0.8946720538660884,1.8794197167682335e-07,0.0,1.8794197167682335e-07
-0.20723631232976913,0.2783943619579077,-0.9262739159166813,4.333075670267518e-07,0.0,-inf
0.7962157018482685,-0.059673530980944633,0.6071951938793063,1.8005807053718072e-06,0.0,-inf
-0.007745165377855301,-0.42741032131016254,0.48212724924087524,6.138224625951309e-07,0.0,6.138224625951309e-07
-0.7513826508074999,0.3853668300434947,-0.4976150253787637,5.291457916428147e-07,0.0,5.291457916428147e-07
0.24418875761330128,-0.16658779326826334,1.0156950429081917,2.1319406660727387e-06,0.0,-inf
0.33608257211744785,0.32159736566245556,0.09760973509401083,9.791483220541962e-07,0.0,-inf
-0.6594273690134287,-0.10287747345864773,-1.365918830037117,1.2168954896064292e-06,0.0,-inf
-0.4118833653628826,0.08440448995679617,1.404617845080793,1.0584427111893592e-06,0.0,-inf
0.592415489256382,-0.3656245293095708,-0.12922576814889908,8.447749735284871e-07,0.0,8.447749735284871e-07
0.6005257368087769,0.3497645240277052,-1.1563237756490707,6.455223868462129e-07,0.0,6.455223868462129e-07
-0.40389565005898476,-0.06848449073731899,0.35700518544763327,1.2034391830980955e-06,0.0,-inf
-0.6514396537095308,0.11824934836477041,-0.3415057137608528,1.9832190067697785e-06,0.0,-inf
0.3441928196698427,-0.33702940959483385,1.1483882954344153,8.935774407682025e-07,0.0,8.935774407682025e-07
0.18981380201876163,0.18247629143297672,0.7385815680027008,2.8952259737242847e-06,0.0,-inf
-0.8058792147785425,-0.4011973012238741,-0.7952351057901978,2.8227631259503384e-07,0.0,2.8227631259503384e-07
-0.062241729348897934,0.41200971882790327,0.7565243616700172,7.446286539378928e-07,0.0,7.446286539378928e-07
0.9422402605414391,-0.13078891579061747,-0.7069767275825143,2.5822074305221197e-06,0.0,-inf
0.7724656127393246,0.04427295830100775,1.060311603359878,1.4322886419871386e-06,0.0,-inf
-0.23086482286453247,-0.2630520509555936,-0.45265939459204674,7.483515716862179e-07,0.0,7.483515716862179e-07
0.017109228298068047,-0.017957521602511406,-1.0448212064802647,1.095011977979053e-06,0.0,-inf
0.42547436617314816,0.48598612379282713,-0.09155648667365313,5.103645182475425e-07,0.0,5.103645182475425e-07
-0.571080794557929,-0.20476625952869654,1.4418966360390186,9.210436778650975e-07,0.0,-inf
-0.32646671682596207,0.23300421424210072,-1.4102836148813367,1.0703787704167455e-06,0.0,-inf
0.6769242323935032,-0.4517242852598429,0.052860092371702194,4.64722356653769e-07,0.0,4.64722356653769e-07
0.7436738312244415,0.21354721579700708,-0.5373926097527146,2.3645614317615323e-06,0.0,-inf
-0.25282013788819313,-0.4947680337354541,0.949271634221077,1.0895259514290105e-06,0.0,-inf
-0.5043006706982851,0.4429433271288872,-0.9647620031610131,9.383618237840994e-07,0.0,-inf
0.4990293849259615,-0.2242223061621189,0.5453421995043755,1.3514585120447182e-06,0.0,-inf
0.09098468162119389,0.25622421968728304,1.3176866685971618,1.4320352489737327e-06,0.0,-inf
-0.9124068710952997,-0.037444173358380795,-0.14849558472633362,1.0053733011409827e-06,0.0,-inf
-0.15701987966895103,0.024785351008176804,0.18719182815402746,7.356799706074806e-07,0.0,7.356799706074806e-07
0.8395356461405754,-0.3060653731226921,-1.3492995724081993,9.065331092299826e-07,0.0,-inf
0.883257444947958,0.3924001306295395,0.24669424071907997,1.5675866445258366e-06,0.0,-inf
-0.1123744547367096,-0.17368007823824883,-1.2403444172814488,8.419127218340882e-07,0.0,8.419127218340882e-07
-0.8648315202444792,0.13958608452230692,1.2482799254357815,8.973977309940183e-07,0.0,-inf
0.13958953134715557,-0.4208059338852763,-0.26219377387315035,1.722136330575915e-06,0.0,-inf
0.29380070231854916,0.0753285326063633,-0.8514330200850964,3.776818057912583e-06,0.0,-inf
-0.710681876167655,-0.3566076159477234,0.6151177911087871,2.725417268553799e-07,0.0,2.725417268553799e-07
-0.4543182924389839,0.3301853658631444,-0.6467227824032307,3.718990428189569e-07,0.0,3.718990428189569e-07
0.5413750745356083,-0.11140625830739737,0.8901438815519214,1.9723170034412056e-06,0.0,-inf
0.5508465282619,0.4158415822312236,-0.6782555021345615,6.6520392033103e-07,0.0,6.6520392033103e-07
-0.45260606706142426,-0.13462077919393778,0.8112525595352054,1.0027205050486511e-06,0.0,-inf
-0.6972193103283644,0.17863679863512516,-0.8251073621213436,7.432541612263895e-07,0.0,7.432541612263895e-07
0.29939725808799267,-0.39735780842602253,0.6878407476469874,8.375372994883732e-07,0.0,8.375372994883732e-07
0.1413561161607504,0.1143869673833251,1.1752851717174053,3.7792616705293486e-06,0.0,-inf
-0.8553209658712149,-0.33316702861338854,-0.2878814237192273,7.954529170681104e-07,0.0,7.954529170681104e-07
-0.10680174082517624,0.35363453440368176,0.32530804350972176,9.467169893989517e-07,0.0,-inf
0.896711427718401,-0.07235450111329556,-1.2081679673865438,1.6462973524434585e-06,0.0,-inf
0.8182377368211746,0.22137129493057728,0.014198689721524715,1.7617587805429712e-06,0.0,-inf
-0.18606172874569893,-0.44009136594831944,-1.4756724312901497,1.7488164490780132e-06,0.0,-inf
0.06581187434494495,-0.21640680823475122,-0.028039321303367615,1.262478065764325e-06,0.0,-inf
0.47002663649618626,0.31090002320706844,-1.085306958295405,9.528267701236233e-07,0.0,9.528267701236233e-07
-0.5255442205816507,-0.029620958492159843,0.37821701914072037,7.531161041165261e-07,0.0,7.531161041165261e-07
-0.2780015282332897,0.03260189201682806,-0.4111141646280885,9.566258176180357e-07,0.0,-inf
