family,method,seed,trials_to_target,target_reached,final_rmse,final_uncertainty,final_coverage_95
heteroscedastic,active_noise_aware,1009,21,True,0.011832980710263957,0.00015950546140647878,0.9492563429571304
heteroscedastic,active_noise_aware,1010,21,True,0.01073812989670125,0.00015950546140647878,0.9457567804024497
heteroscedastic,active_noise_aware,1011,21,True,0.008815319115853931,0.00015950546140647878,0.9492563429571304
heteroscedastic,active_noise_aware,1012,21,True,0.00900420446208986,0.00015950546140647878,0.94750656167979
heteroscedastic,active_noise_aware,1013,21,True,0.012266343222346703,0.00015950546140647878,0.94750656167979
heteroscedastic,active_noise_aware,1014,21,True,0.008048054514246375,0.00015950546140647878,0.9510061242344707
heteroscedastic,active_noise_aware,1015,21,True,0.008382179693433706,0.00015950546140647878,0.9483814523184602
heteroscedastic,active_noise_aware,1016,21,True,0.010868021221232232,0.00015950546140647878,0.9457567804024497
heteroscedastic,active_noise_aware,1017,21,True,0.013280125442384397,0.00015950546140647878,0.9492563429571304
heteroscedastic,active_noise_aware,1018,21,True,0.009365981774987285,0.00015950546140647878,0.9536307961504812
heteroscedastic,active_noise_aware,1019,21,True,0.009202511803368167,0.00015950546140647878,0.9448818897637795
heteroscedastic,active_noise_aware,1020,21,True,0.008140098053925342,0.00015950546140647878,0.9553805774278216
heteroscedastic,d_opt,1001,31,True,0.011180226829105383,0.00023605494011120235,0.9413823272090989
heteroscedastic,d_opt,1002,31,True,0.010604385302832092,0.00023605494011120235,0.9457567804024497
heteroscedastic,d_opt,1003,31,True,0.010223669103075173,0.00023605494011120235,0.952755905511811
heteroscedastic,d_opt,1004,31,True,0.008977114318920953,0.00023605494011120235,0.94750656167979
heteroscedastic,d_opt,1005,31,True,0.009795250836000274,0.00023605494011120235,0.9545056867891514
heteroscedastic,d_opt,1006,31,True,0.013208462564644918,0.00023605494011120235,0.9352580927384077
heteroscedastic,d_opt,1007,31,True,0.011194044987606556,0.00023605494011120235,0.9448818897637795
heteroscedastic,d_opt,1008,31,True,0.015301056199137391,0.00023605494011120235,0.9501312335958005
heteroscedastic,d_opt,1009,31,True,0.01213862938686685,0.00023605494011120235,0.9457567804024497
heteroscedastic,d_opt,1010,31,True,0.01459142315308477,0.00023605494011120235,0.9405074365704287
heteroscedastic,d_opt,1011,31,True,0.009235777917057457,0.00023605494011120235,0.9378827646544182
heteroscedastic,d_opt,1012,31,True,0.011888262199465429,0.00023605494011120235,0.9396325459317585
heteroscedastic,d_opt,1013,31,True,0.011408611124842215,0.00023605494011120235,0.9518810148731408
heteroscedastic,d_opt,1014,31,True,0.009312831030921582,0.00023605494011120235,0.9545056867891514
heteroscedastic,d_opt,1015,31,True,0.009705904674267754,0.00023605494011120235,0.9326334208223972
heteroscedastic,d_opt,1016,31,True,0.012916495720417375,0.00023605494011120235,0.9545056867891514
heteroscedastic,d_opt,1017,31,True,0.010842826799396577,0.00023605494011120235,0.9510061242344707
heteroscedastic,d_opt,1018,31,True,0.012505813345409249,0.00023605494011120235,0.9536307961504812
heteroscedastic,d_opt,1019,31,True,0.009194430515500729,0.00023605494011120235,0.9335083114610674
heteroscedastic,d_opt,1020,31,True,0.01117593018646367,0.00023605494011120235,0.94750656167979
heteroscedastic,lhs,1001,40,True,0.012530740055048884,0.0002573076608402516,0.9448818897637795
heteroscedastic,lhs,1002,36,True,0.011570330186827986,0.00024141990177268884,0.9343832020997376
heteroscedastic,lhs,1003,40,True,0.010696342620881549,0.0002416274882605258,0.9422572178477691
heteroscedastic,lhs,1004,34,True,0.010953735539401184,0.00024561524784450563,0.9483814523184602
heteroscedastic,lhs,1005,43,True,0.009998208568856378,0.00024336291127212049,0.9483814523184602
heteroscedastic,lhs,1006,41,True,0.010771423551065142,0.00022312005514054409,0.9308836395450568
heteroscedastic,lhs,1007,37,True,0.012458362982779147,0.00023698327437158921,0.9396325459317585
heteroscedastic,lhs,1008,37,True,0.009228035089070514,0.00022113473031957657,0.9518810148731408
heteroscedastic,lhs,1009,42,True,0.013608841215046831,0.0002424995722616948,0.9492563429571304
heteroscedastic,lhs,1010,41,True,0.009545042861423075,0.0002233336583331657,0.9413823272090989
heteroscedastic,lhs,1011,32,True,0.010221172310990026,0.00021659658811112563,0.9510061242344707
heteroscedastic,lhs,1012,32,True,0.010293306352460981,0.00022587546072154403,0.9413823272090989
heteroscedastic,lhs,1013,34,True,0.013839230603367864,0.00020240159467492703,0.9413823272090989
heteroscedastic,lhs,1014,45,True,0.0120061818214673,0.00026363794831491433,0.9545056867891514
heteroscedastic,lhs,1015,30,True,0.016089751724951563,0.00022698440918634006,0.9308836395450568
heteroscedastic,lhs,1016,32,True,0.011353795984488713,0.0002215071230697725,0.9483814523184602
heteroscedastic,lhs,1017,42,True,0.01615255833832413,0.0002626450010886615,0.9466316710411199
heteroscedastic,lhs,1018,34,True,0.013038842245016141,0.00024414020366772613,0.9501312335958005
heteroscedastic,lhs,1019,30,True,0.007559379208435227,0.00022743387219397305,0.94750656167979
heteroscedastic,lhs,1020,36,True,0.0091389712413937,0.00023750500445031403,0.9571303587051618
