# id timestamp x y z qx qy qz qw
39 1787326177.724251 7.138904 2.645596 0.054043 -0.042727 0.129124 0.047481 0.989569
40 1787326177.824407 7.215000 2.637533 0.065187 -0.026798 0.111256 0.013380 0.993340
41 1787326177.924212 7.273427 2.622852 0.070080 -0.019023 0.104219 -0.034412 0.993777
42 1787326178.624259 7.593727 2.232195 0.051985 0.053621 0.085989 -0.476212 0.873472
43 1787326178.724473 7.644603 2.169587 0.054858 0.065068 0.091437 -0.465365 0.877976
44 1787326178.824390 7.668415 2.103513 0.068793 0.057959 0.068733 -0.471817 0.877101
45 1787326178.924293 7.728779 2.021657 0.056127 0.053782 0.096093 -0.478259 0.871287
46 1787326179.024179 7.773024 1.933114 0.082699 0.051782 0.095889 -0.494227 0.862475
47 1787326179.124408 7.821851 1.841108 0.083011 0.047090 0.082769 -0.522296 0.847430
48 1787326179.224463 7.855015 1.744776 0.081025 0.061530 0.089801 -0.558783 0.822138
49 1787326179.324617 7.866227 1.652689 0.091323 0.069788 0.080024 -0.601448 0.791825
50 1787326179.424359 7.876315 1.556993 0.076856 0.077522 0.093548 -0.607296 0.785131
51 1787326179.524509 7.893379 1.465634 0.081773 0.071661 0.096850 -0.605423 0.786733
52 1787326179.624516 7.935163 1.364230 0.084955 0.059361 0.085809 -0.604692 0.789595
53 1787326179.724364 7.971812 1.248678 0.074641 0.076234 0.093069 -0.599284 0.791445
54 1787326179.824331 8.016488 1.144626 0.072716 0.057754 0.095162 -0.602843 0.790056
55 1787326179.924371 8.062843 1.026081 0.059934 0.075474 0.115980 -0.603597 0.785190
56 1787326180.024354 8.092138 0.907966 0.065521 0.061341 0.101601 -0.603620 0.788389
57 1787326180.124476 8.126722 0.772719 0.061699 0.077646 0.106234 -0.598047 0.790585
58 1787326180.324585 8.188404 0.493243 0.067976 0.081671 0.120776 -0.602445 0.784731
59 1787326180.524346 8.257140 0.204481 0.073383 0.081792 0.110881 -0.595739 0.791271
60 1787326180.624321 8.300499 0.065089 0.076544 0.074579 0.105828 -0.598675 0.790460
61 1787326180.723377 8.347944 -0.079457 0.053054 0.075444 0.125278 -0.602512 0.784597
62 1787326180.923310 8.415210 -0.356765 0.059759 0.075413 0.108394 -0.595338 0.792551
63 1787326181.124288 8.494921 -0.636835 0.059729 0.088837 0.118590 -0.597766 0.787858
64 1787326181.324709 8.562223 -0.918286 0.070388 0.089148 0.104298 -0.592740 0.793621
65 1787326181.524522 8.630901 -1.202328 0.069440 0.085880 0.116042 -0.596790 0.789304
66 1787326181.624204 8.666636 -1.335171 0.074032 0.074570 0.111565 -0.609035 0.781709
67 1787326181.724496 8.701334 -1.451895 0.071459 0.072700 0.105702 -0.632259 0.764062
68 1787326181.824361 8.716515 -1.552609 0.075507 0.076551 0.109241 -0.634742 0.761123
69 1787326181.924335 8.733238 -1.657979 0.068470 0.079062 0.109044 -0.632703 0.762592
70 1787326182.024446 8.753841 -1.760064 0.084317 0.066958 0.111445 -0.633866 0.762437
71 1787326182.124365 8.766675 -1.870138 0.086111 0.069909 0.094972 -0.643219 0.756547
72 1787326182.224429 8.765968 -1.981266 0.081309 0.084826 0.102365 -0.662938 0.736776
73 1787326182.324552 8.759653 -2.085622 0.087382 0.075950 0.098256 -0.668986 0.732827
74 1787326182.524474 8.773529 -2.294708 0.092701 0.066625 0.103562 -0.669298 0.732718
75 1787326182.624368 8.768904 -2.403513 0.084517 0.075882 0.095891 -0.678462 0.724387
76 1787326182.724263 8.754729 -2.506848 0.080555 0.091773 0.097709 -0.696223 0.705198
77 1787326182.824229 8.756333 -2.609896 0.075434 0.080424 0.098828 -0.700913 0.701773
78 1787326183.024510 8.741769 -2.824083 0.079073 0.068244 0.097354 -0.702241 0.701942
79 1787326183.124460 8.743442 -2.933604 0.076201 0.075572 0.103250 -0.712962 0.689429
80 1787326183.224328 8.715121 -3.031770 0.083517 0.087606 0.097972 -0.738004 0.661874
81 1787326183.824253 8.451214 -3.506834 0.084987 0.101616 0.047530 -0.846107 0.521074
82 1787326183.924192 8.411241 -3.592373 0.082059 0.125997 0.060711 -0.854192 0.500795
83 1787326184.024121 8.356339 -3.663519 0.083382 0.114531 0.056335 -0.872461 0.471721
84 1787326184.124396 8.297227 -3.726423 0.074308 0.112761 0.061741 -0.894541 0.428101
85 1787326184.224304 8.225470 -3.766737 0.087956 0.125038 0.029405 -0.916778 0.378178
86 1787326184.924439 7.658118 -3.752345 0.066060 0.134878 -0.030480 -0.988805 -0.056070
87 1787326185.324396 7.352568 -3.710379 0.063648 0.142430 0.003077 -0.988150 -0.057134
88 1787326185.424407 7.255122 -3.707634 0.066474 0.137137 0.010192 -0.988979 -0.054862
89 1787326185.524417 7.128835 -3.698310 0.062445 0.118738 0.009464 -0.991447 -0.053329
90 1787326185.624134 6.998076 -3.681154 0.059084 0.141549 -0.013031 -0.988697 -0.047660
91 1787326185.724552 6.858686 -3.663125 0.061748 0.124206 0.000068 -0.990956 -0.050787
92 1787326185.824381 6.725464 -3.653148 0.058191 0.150474 0.003836 -0.986904 -0.057995
93 1787326185.924357 6.596393 -3.641233 0.064716 0.128679 0.010143 -0.990062 -0.055831
94 1787326186.024372 6.452333 -3.627882 0.051964 0.149333 -0.007261 -0.987720 -0.045354
95 1787326186.124474 6.303550 -3.611944 0.058809 0.134510 0.002292 -0.989788 -0.047135
96 1787326186.224428 6.146185 -3.600049 0.048494 0.154204 0.000124 -0.986659 -0.052200
97 1787326186.324482 6.023985 -3.582009 0.057226 0.132111 0.007217 -0.989777 -0.053260
98 1787326186.424316 5.880265 -3.563751 0.051403 0.143873 -0.007801 -0.988584 -0.044067
99 1787326186.524496 5.746402 -3.549174 0.061808 0.130767 0.001816 -0.990380 -0.045211
100 1787326186.624287 5.617113 -3.531645 0.047164 0.150422 0.003751 -0.987320 -0.050580
101 1787326186.724401 5.483450 -3.512290 0.051210 0.129855 0.010173 -0.990419 -0.045882
102 1787326186.824380 5.338368 -3.487137 0.037760 0.145243 -0.006055 -0.988621 -0.038673
103 1787326186.924382 5.185052 -3.471564 0.038910 0.134956 0.008463 -0.989974 -0.040837
104 1787326187.024374 5.041840 -3.458130 0.030802 0.151422 0.011648 -0.987209 -0.048523
105 1787326187.124546 4.900988 -3.451353 0.040822 0.130227 0.013991 -0.990399 -0.044207
106 1787326187.224396 4.753591 -3.437712 0.034857 0.148951 -0.002473 -0.988160 -0.036695
107 1787326187.324348 4.601910 -3.427763 0.038293 0.139786 0.014234 -0.989302 -0.039239
