planned_unit_id,block_id,position,method_id,route_order
NAV_BLOCK_18_B8_full,NAV_BLOCK_18,7,B8_full,AB
NAV_BLOCK_18_B0_raw,NAV_BLOCK_18,8,B0_raw,BA
NAV_BLOCK_19_B2_lhs,NAV_BLOCK_19,1,B2_lhs,AB
NAV_BLOCK_19_B3_sobol,NAV_BLOCK_19,2,B3_sobol,BA
NAV_BLOCK_19_B4_d_opt,NAV_BLOCK_19,3,B4_d_opt,AB
NAV_BLOCK_19_B5_active_no_task,NAV_BLOCK_19,4,B5_active_no_task,BA
NAV_BLOCK_19_B6_random,NAV_BLOCK_19,5,B6_random,AB
NAV_BLOCK_19_B8_full,NAV_BLOCK_19,6,B8_full,BA
NAV_BLOCK_19_B0_raw,NAV_BLOCK_19,7,B0_raw,AB
NAV_BLOCK_19_B1_dense,NAV_BLOCK_19,8,B1_dense,BA
NAV_BLOCK_20_B3_sobol,NAV_BLOCK_20,1,B3_sobol,AB
NAV_BLOCK_20_B4_d_opt,NAV_BLOCK_20,2,B4_d_opt,BA
NAV_BLOCK_20_B5_active_no_task,NAV_BLOCK_20,3,B5_active_no_task,AB
NAV_BLOCK_20_B6_random,NAV_BLOCK_20,4,B6_random,BA
NAV_BLOCK_20_B8_full,NAV_BLOCK_20,5,B8_full,AB
NAV_BLOCK_20_B0_raw,NAV_BLOCK_20,6,B0_raw,BA
NAV_BLOCK_20_B1_dense,NAV_BLOCK_20,7,B1_dense,AB
NAV_BLOCK_20_B2_lhs,NAV_BLOCK_20,8,B2_lhs,BA
NAV_BLOCK_21_B4_d_opt,NAV_BLOCK_21,1,B4_d_opt,AB
NAV_BLOCK_21_B5_active_no_task,NAV_BLOCK_21,2,B5_active_no_task,BA
NAV_BLOCK_21_B6_random,NAV_BLOCK_21,3,B6_random,AB
NAV_BLOCK_21_B8_full,NAV_BLOCK_21,4,B8_full,BA
NAV_BLOCK_21_B0_raw,NAV_BLOCK_21,5,B0_raw,AB
NAV_BLOCK_21_B1_dense,NAV_BLOCK_21,6,B1_dense,BA
NAV_BLOCK_21_B2_lhs,NAV_BLOCK_21,7,B2_lhs,AB
NAV_BLOCK_21_B3_sobol,NAV_BLOCK_21,8,B3_sobol,BA
NAV_BLOCK_22_B5_active_no_task,NAV_BLOCK_22,1,B5_active_no_task,AB
NAV_BLOCK_22_B6_random,NAV_BLOCK_22,2,B6_random,BA
NAV_BLOCK_22_B8_full,NAV_BLOCK_22,3,B8_full,AB
NAV_BLOCK_22_B0_raw,NAV_BLOCK_22,4,B0_raw,BA
NAV_BLOCK_22_B1_dense,NAV_BLOCK_22,5,B1_dense,AB
NAV_BLOCK_22_B2_lhs,NAV_BLOCK_22,6,B2_lhs,BA
NAV_BLOCK_22_B3_sobol,NAV_BLOCK_22,7,B3_sobol,AB
NAV_BLOCK_22_B4_d_opt,NAV_BLOCK_22,8,B4_d_opt,BA
NAV_BLOCK_23_B6_random,NAV_BLOCK_23,1,B6_random,AB
NAV_BLOCK_23_B8_full,NAV_BLOCK_23,2,B8_full,BA
NAV_BLOCK_23_B0_raw,NAV_BLOCK_23,3,B0_raw,AB
NAV_BLOCK_23_B1_dense,NAV_BLOCK_23,4,B1_dense,BA
NAV_BLOCK_23_B2_lhs,NAV_BLOCK_23,5,B2_lhs,AB
NAV_BLOCK_23_B3_sobol,NAV_BLOCK_23,6,B3_sobol,BA
NAV_BLOCK_23_B4_d_opt,NAV_BLOCK_23,7,B4_d_opt,AB
NAV_BLOCK_23_B5_active_no_task,NAV_BLOCK_23,8,B5_active_no_task,BA
NAV_BLOCK_24_B8_full,NAV_BLOCK_24,1,B8_full,AB
NAV_BLOCK_24_B0_raw,NAV_BLOCK_24,2,B0_raw,BA
NAV_BLOCK_24_B1_dense,NAV_BLOCK_24,3,B1_dense,AB
NAV_BLOCK_24_B2_lhs,NAV_BLOCK_24,4,B2_lhs,BA
NAV_BLOCK_24_B3_sobol,NAV_BLOCK_24,5,B3_sobol,AB
NAV_BLOCK_24_B4_d_opt,NAV_BLOCK_24,6,B4_d_opt,BA
NAV_BLOCK_24_B5_active_no_task,NAV_BLOCK_24,7,B5_active_no_task,AB
NAV_BLOCK_24_B6_random,NAV_BLOCK_24,8,B6_random,BA
NAV_BLOCK_25_B0_raw,NAV_BLOCK_25,1,B0_raw,AB
NAV_BLOCK_25_B1_dense,NAV_BLOCK_25,2,B1_dense,BA
NAV_BLOCK_25_B2_lhs,NAV_BLOCK_25,3,B2_lhs,AB
NAV_BLOCK_25_B3_sobol,NAV_BLOCK_25,4,B3_sobol,BA
NAV_BLOCK_25_B4_d_opt,NAV_BLOCK_25,5,B4_d_opt,AB
NAV_BLOCK_25_B5_active_no_task,NAV_BLOCK_25,6,B5_active_no_task,BA
NAV_BLOCK_25_B6_random,NAV_BLOCK_25,7,B6_random,AB
NAV_BLOCK_25_B8_full,NAV_BLOCK_25,8,B8_full,BA
NAV_BLOCK_26_B1_dense,NAV_BLOCK_26,1,B1_dense,AB
NAV_BLOCK_26_B2_lhs,NAV_BLOCK_26,2,B2_lhs,BA
NAV_BLOCK_26_B3_sobol,NAV_BLOCK_26,3,B3_sobol,AB
NAV_BLOCK_26_B4_d_opt,NAV_BLOCK_26,4,B4_d_opt,BA
NAV_BLOCK_26_B5_active_no_task,NAV_BLOCK_26,5,B5_active_no_task,AB
NAV_BLOCK_26_B6_random,NAV_BLOCK_26,6,B6_random,BA
